biacromialbreadth,chestcircumference,weightkg,stature,t-shirt size
416,1008,802,1742,M
420,1046,796,1687,M
406,968,717,1731,S
418,1025,809,1830,M
425,1143,919,1647,XL
441,1121,963,1928,XL
397,926,683,1728,S
403,1036,828,1705,M
381,877,628,1729,XS
416,1105,894,1752,L
408,1061,928,1776,M
402,948,555,1643,S
389,990,618,1570,S
412,1018,806,1810,M
414,1069,955,1814,L
438,1174,1041,1744,2XL
441,1141,1012,1776,XL
418,1000,751,1826,M
410,1005,702,1757,M
431,1052,806,1777,L
428,1171,944,1775,XL
395,988,769,1713,S
418,1095,1060,1790,L
415,1054,799,1747,L
449,1267,1103,1854,3XL
459,1248,1180,1799,3XL
436,1114,918,1739,XL
429,1054,870,1730,L
430,1096,873,1756,L
415,1005,717,1757,M
427,1170,992,1768,XL
388,987,779,1688,S
416,1031,803,1725,M
420,1077,908,1879,L
414,1095,861,1734,L
383,912,630,1727,XS
428,1114,984,1755,XL
402,936,651,1717,S
402,1019,780,1703,M
407,1059,891,1790,M
428,1088,920,1705,L
405,998,741,1833,M
445,1198,1161,1829,2XL
419,1023,902,1842,M
386,989,710,1620,S
398,922,646,1767,S
433,1128,921,1772,XL
411,1013,741,1877,M
419,1009,737,1782,M
417,1054,811,1754,L
412,1000,695,1651,M
405,1047,796,1668,M
409,995,701,1795,M
401,931,610,1678,S
420,1024,831,1816,M
405,980,757,1754,S
406,1017,735,1725,M
415,1119,920,1770,L
410,1094,906,1779,L
450,1219,1099,1809,2XL
413,1008,765,1710,M
418,1016,780,1629,M
415,1096,918,1769,L
453,1260,1127,1853,3XL
407,976,781,1750,S
434,1172,998,1706,XL
380,947,647,1673,S
405,949,690,1715,S
425,1063,835,1770,L
391,962,661,1682,S
418,1026,839,1748,M
453,1285,1371,1895,3XL
385,952,647,1699,S
411,1062,827,1763,L
413,1058,903,1790,L
440,1165,1057,1799,XL
417,1048,860,1716,M
410,1108,882,1641,L
465,1289,1225,1890,3XL
402,991,723,1653,M
421,1072,786,1683,L
425,1117,982,1797,XL
415,1119,940,1744,L
422,1084,1041,1863,L
400,990,705,1709,S
397,978,670,1692,S
437,1128,1073,1809,XL
380,887,599,1710,XS
430,1074,859,1746,L
431,1114,971,1798,XL
402,925,721,1772,S
383,993,689,1728,S
425,1069,882,1870,L
437,1140,905,1649,XL
406,1054,848,1745,M
420,1038,848,1734,M
400,938,847,1919,S
427,1078,977,1742,L
405,936,585,1686,S
445,1194,1144,1890,2XL
428,1127,975,1751,XL
455,1237,1106,1882,3XL
420,1082,1011,1940,L
404,978,791,1788,S
457,1241,1273,1774,3XL
417,1079,768,1713,L
409,1042,837,1767,M
383,959,653,1702,S
463,1327,1235,1797,3XL
427,1114,1012,1862,XL
403,1000,775,1767,M
416,1088,958,1748,L
427,1090,973,1798,L
423,1108,895,1792,L
381,922,640,1741,S
408,1031,745,1679,M
426,1095,823,1803,L
407,935,582,1707,S
427,1169,1026,1807,XL
436,1146,958,1743,XL
416,1032,824,1838,M
394,942,682,1720,S
409,1037,860,1844,M
398,933,645,1693,S
391,987,743,1674,S
430,1057,889,1827,L
395,986,773,1696,S
437,1136,1005,1836,XL
395,926,650,1767,S
387,981,592,1572,S
444,1224,1186,1878,2XL
388,886,613,1730,XS
412,1065,832,1722,L
438,1126,895,1710,XL
408,988,704,1720,S
417,1064,836,1765,L
408,985,775,1793,S
425,1128,851,1725,XL
414,1008,817,1783,M
423,1141,922,1832,XL
419,1094,883,1774,L
433,1100,918,1810,L
402,968,698,1756,S
395,993,828,1713,S
418,1092,997,1769,L
418,1056,856,1802,L
399,922,634,1753,S
422,1064,903,1828,L
386,958,763,1763,S
394,939,753,1776,S
392,918,583,1657,S
422,1112,919,1758,L
414,1005,813,1812,M
397,930,634,1737,S
391,1000,821,1755,S
364,866,565,1662,XS
423,1124,945,1725,XL
409,1012,816,1792,M
410,1021,875,1828,M
416,1061,900,1840,L
433,1070,910,1828,L
482,1280,1258,1871,3XL
409,994,729,1763,M
415,1108,864,1687,L
398,1029,765,1728,M
400,1046,795,1659,M
382,988,737,1690,S
433,1148,1110,1796,XL
407,1011,812,1729,M
405,973,695,1735,S
451,1249,1189,1844,3XL
437,1162,1251,1890,XL
376,856,600,1689,XS
431,1102,1012,1822,L
415,1108,1044,1773,L
405,978,771,1708,S
416,1056,921,1784,L
423,1119,761,1754,XL
436,1172,1052,1830,2XL
413,1062,844,1733,L
432,1076,931,1847,L
409,1025,846,1721,M
396,946,756,1763,S
406,1034,892,1793,M
423,1141,983,1875,XL
400,964,665,1687,S
437,1202,1160,1827,2XL
404,918,699,1733,S
399,973,768,1722,S
410,1118,882,1758,L
421,1115,919,1717,L
419,1122,902,1735,L
412,1107,1046,1794,L
380,989,639,1568,S
407,995,752,1723,M
407,1023,830,1830,M
410,1108,822,1760,L
402,980,737,1714,S
410,1093,927,1710,L
404,1057,890,1731,M
387,914,616,1638,XS
429,1146,990,1818,XL
407,1031,805,1742,M
381,968,691,1700,S
425,1074,842,1722,L
388,913,585,1649,XS
427,1081,871,1731,L
439,1158,1026,1773,XL
417,1086,940,1763,L
430,1147,1000,1838,XL
406,1020,867,1780,M
397,932,705,1604,S
402,975,707,1732,S
415,1098,859,1688,L
400,952,643,1710,S
383,879,623,1792,XS
430,1059,851,1825,L
413,999,812,1808,M
403,939,737,1754,S
417,1016,816,1742,M
394,959,627,1585,S
404,957,675,1738,S
402,1002,802,1733,M
423,1059,852,1820,L
413,1074,883,1741,L
445,1213,1268,1902,2XL
380,910,631,1680,XS
438,1202,1162,1801,2XL
393,995,743,1689,S
412,1056,866,1845,L
420,1050,728,1638,M
402,1017,780,1663,M
432,1071,836,1807,L
425,1094,1006,1746,L
395,984,731,1646,S
430,1078,947,1757,L
417,1106,882,1703,L
419,1084,904,1745,L
390,953,724,1814,S
405,937,659,1642,S
430,1144,996,1875,XL
393,925,734,1761,S
399,926,621,1726,S
394,998,766,1660,S
418,1016,693,1598,M
409,1008,781,1760,M
467,1250,1028,1760,3XL
410,1072,822,1750,L
420,1122,932,1742,L
459,1269,1260,1803,3XL
416,1067,901,1830,L
409,1035,798,1716,M
410,1096,873,1820,L
428,1122,894,1753,XL
441,1162,1052,1784,XL
400,1006,847,1758,M
412,1051,744,1659,L
438,1166,1050,1885,XL
394,957,662,1634,S
453,1374,1307,1763,3XL
429,1117,953,1775,XL
398,917,781,1823,S
413,1031,835,1759,M
363,919,646,1720,XS
418,1098,858,1716,L
412,1000,742,1741,M
413,1112,887,1730,L
396,965,736,1665,S
395,997,696,1747,S
440,1192,1137,1779,2XL
374,910,584,1629,XS
400,998,720,1656,M
424,1145,1009,1749,XL
425,1120,921,1769,XL
420,1062,813,1691,L
417,1058,914,1775,L
386,985,675,1629,S
400,1005,774,1730,M
404,974,712,1684,S
422,1082,844,1757,L
396,967,674,1646,S
416,1051,890,1744,L
